treatment,income_id,percent
advanced_thermal_treatment,HIC,0.4827544482976691
anaerobic_digestion,HIC,0.6936283149010555
anaerobic_digestion,LMC,0.18603352861131534
anaerobic_digestion,UMC,0.11893291345489115
compost,HIC,3.4916016917626593
compost,LIC,0.11483373189259313
compost,LMC,9.086941800122144
compost,UMC,7.20342005222326
controlled_landfill,HIC,18.127724177477976
controlled_landfill,LIC,13.812299641336317
controlled_landfill,LMC,13.819481875213208
controlled_landfill,UMC,10.250004217937592
incineration,HIC,20.434171315609763
incineration,LMC,3.7217255422496773
incineration,UMC,1.9290368175069745
landfill_unspecified,HIC,2.8425773197692252
landfill_unspecified,LIC,0.10819447301806165
landfill_unspecified,LMC,6.672559323472877
landfill_unspecified,UMC,5.908042667626007
open_dump,HIC,2.055313531385705
open_dump,LIC,26.20648210558124
open_dump,LMC,24.780344870486566
open_dump,UMC,19.33784962874286
other,HIC,4.063230961477846
other,LIC,3.4027698787690115
other,LMC,9.596685654088938
other,UMC,1.6133834519974355
recycling,HIC,19.649188906044554
recycling,LIC,3.0453656487434846
recycling,LMC,5.077689600153809
recycling,UMC,4.614129945893843
sanitary_landfill_landfill_gas_system,HIC,21.199623594619716
sanitary_landfill_landfill_gas_system,LIC,5.637338634767819
sanitary_landfill_landfill_gas_system,LMC,14.0903448431088
sanitary_landfill_landfill_gas_system,UMC,42.55091741906117
unaccounted_for,HIC,6.960185738653839
unaccounted_for,LIC,47.43656143127972
unaccounted_for,LMC,12.961762173849312
unaccounted_for,UMC,6.44262673248239
waterways_marine,LIC,0.2361544546117598
waterways_marine,LMC,0.00643078864335411
waterways_marine,UMC,0.03165615307357654
